Mouse_ID,Left_Poke_PR1,Right_Poke_PR1,Total_Pokes_PR1,Accuracy_PR1,PokesPerPellet_PR1,MedianBreakPoint_PR1,Numberofblocks_PR1,daily pellets_PR1,Demand_Q0_raw_PR1,Demand_alpha_raw_PR1,Demand_beta_raw_PR1,Demand_alpha_FR_PR1,Demand_beta_FR_PR1
ChocoHFD_001_1,550.0,143.0,693.0,79.36507936507937,6.663461538461538,6.0,16.0,55.43723702232148,16.34589775012409,6.034823819043488,2.170862207371399,5.728446286802522,2.02741687710412
ChocoHFD_001_2,906.0,503.0,1409.0,64.30092264017033,10.755725190839694,4.0,18.0,69.60329124977707,21.60542662012224,4.281502435932259,1.470160829967866,5.243948943344253,1.6661428764631214
ChocoHFD_001_3,1157.0,450.0,1607.0,71.99751088985687,12.959677419354838,4.5,14.0,65.77724295020168,17.452980760096764,4.187105444674041,1.2782706888211879,5.4713609549221935,1.4488395477695706
ChocoHFD_001_4,1377.0,276.0,1653.0,83.30308529945553,12.715384615384615,3.0,15.0,68.68296501033424,24.00570731696433,2.2318759461868556,1.0377697770523635,4.748796367872802,1.33307121386226
ChocoHFD_001_5,691.0,389.0,1080.0,63.98148148148148,8.0,4.0,24.0,70.39312484157927,25.580526774297777,4.683889690268011,2.491455150852608,4.799169624492198,2.564243481546769
ChocoHFD_001_6,926.0,330.0,1256.0,73.72611464968153,10.129032258064516,4.0,15.0,64.92028577141923,18.377537554703103,4.7935055874325245,1.5301272960821803,5.904640218728635,1.73258386476051
ChocoHFD_001_7,580.0,249.0,829.0,69.96381182147165,7.336283185840708,4.0,19.0,58.965067401072616,21.500740349528343,4.613714935612511,1.8907047720873933,5.076059409380071,2.067905281150481
ChocoHFD_001_8,839.0,154.0,993.0,84.49144008056395,8.560344827586206,5.5,16.0,61.1875602876714,17.55220799760558,5.033546625785418,1.7747114793819374,5.27308219086746,1.8366356392768537
ChocoHFD_001_9,359.0,187.0,546.0,65.75091575091575,5.870967741935484,3.0,22.0,48.98944634463081,24.302157996177687,3.610982713897826,2.538707485404447,3.819585023105246,2.70836219060943
ChocoHFD_001_10,1016.0,334.0,1350.0,75.25925925925925,9.375,6.0,17.0,76.04378678695198,18.641846377384496,6.5490925829019435,2.3583996725783285,6.801359723903485,2.4559131985776603
ChocoHFD_001_11,807.0,203.0,1010.0,79.9009900990099,7.593984962406015,5.0,20.0,69.34691562164315,21.75242255187056,5.25895895048276,2.6603721842259027,5.442250102757662,2.769118371431469
ChocoHFD_001_12,2040.0,573.0,2613.0,78.0711825487945,13.973262032085561,7.0,15.0,98.0793045674186,17.02739165098326,8.21296585647546,1.8304471767783017,8.911875330424124,1.9477729971544695
ChocoHFD_001_13,1247.0,394.0,1641.0,75.99024984765387,10.386075949367088,5.0,21.0,82.26984547887086,24.088661105127176,4.965643375930316,2.0901767639585755,5.508014622319086,2.2771989756104034
ChocoHFD_001_14,1064.0,409.0,1473.0,72.23353699932112,10.751824817518248,4.0,19.0,71.39462224205943,22.917349785433625,3.929216047966107,1.4427884702590459,5.229509820920309,1.6873167049867908
ChocoHFD_001_15,787.0,229.0,1016.0,77.46062992125984,7.639097744360902,4.0,21.0,72.97204617905179,23.973709422958617,4.497932274836696,1.794846770647488,5.051632393802962,1.9744431095483093
ChocoHFD_001_16,1175.0,433.0,1608.0,73.07213930348259,10.177215189873417,4.0,19.0,83.26085498026922,22.475684683019015,5.387948396963075,1.6471898836032244,6.336437372609779,1.8549106433701792
ChocoHFD_001_17,1994.0,406.0,2400.0,83.08333333333333,11.214953271028037,9.0,21.0,112.98672728606,22.17861319759891,7.391799015700811,1.8472540443919259,7.4809658677730475,1.8639691290313911
ChocoHFD_001_18,1641.0,579.0,2220.0,73.91891891891892,13.875,7.5,14.0,89.94202955126578,14.95727441080535,8.143413703057398,1.6349370762676203,8.1061804210803,1.6294135343817848
ChocoHFD_001_19,1286.0,308.0,1594.0,80.67754077791719,11.984962406015038,6.5,14.0,70.111043319097,15.714652950556113,6.11603440298585,1.816291338616264,6.53590655341616,1.9044993446435998
ChocoHFD_001_20,965.0,373.0,1338.0,72.12257100149478,10.453125,4.5,16.0,66.76890010505089,17.987352303346476,5.485489566862837,1.9045933049705184,5.913612672358241,2.013350135615318
