Mouse_ID,Win-stay_Bandit80,Lose-shift_Bandit80,PeakAccuracy_Bandit80,Total_pellets_Bandit80,Total_pokes_Bandit80,PokesPerPellet_Bandit80,RetrievalTime_Bandit80,PokeTime_Bandit80,daily pellets_Bandit80,Win-stay_Day_Bandit80,Win-stay_Night_Bandit80,Lose-shift_Day_Bandit80,Lose-shift_Night_Bandit80,PeakAccuracy_Day_Bandit80,PeakAccuracy_Night_Bandit80
ChocoHFD_001_1,0.8188405797101449,0.5,0.5333333333333333,199.0,372.0,1.8693467336683418,0.41,0.12,107.7050289408404,0.7857142857142857,0.8272727272727273,0.6666666666666666,0.4642857142857143,0.3,0.5444444444444445
ChocoHFD_001_2,0.7006802721088435,0.35135135135135137,0.58,210.0,412.0,1.9619047619047618,0.47,0.22,109.71923806084679,0.7777777777777778,0.6756756756756757,0.6666666666666666,0.2903225806451613,0.75,0.5333333333333333
ChocoHFD_001_3,0.9155844155844156,0.6153846153846154,0.6727272727272727,240.0,418.0,1.7416666666666667,0.59,0.15,125.47121290049316,1.0,0.8888888888888888,0.7142857142857143,0.5789473684210527,0.7666666666666666,0.65
ChocoHFD_001_4,0.9239766081871345,0.4,0.7888888888888889,200.0,389.0,1.945,0.35,0.13,105.50352288962426,0.9230769230769231,0.9242424242424242,0.2857142857142857,0.46153846153846156,0.5666666666666667,0.857142857142857
ChocoHFD_001_5,0.7166666666666667,0.5185185185185185,0.5545454545454545,235.0,446.0,1.897872340425532,0.41,0.11,133.7294638465322,0.8275862068965517,0.695364238410596,0.75,0.4782608695652174,0.5333333333333333,0.53
ChocoHFD_001_6,0.8594594594594595,0.6521739130434783,0.6727272727272727,232.0,429.0,1.8491379310344827,0.41,0.11,131.47507151347327,0.8055555555555556,0.87248322147651,0.4,0.6829268292682927,0.6666666666666667,0.6625
ChocoHFD_001_7,0.919431279620853,0.5,0.6333333333333334,260.0,448.0,1.7230769230769232,0.53,0.13,139.8981155106057,0.8378378378378378,0.9364161849710982,0.75,0.46,0.7,0.5727272727272728
ChocoHFD_001_8,0.7959183673469388,0.48,0.525,250.0,471.0,1.884,0.71,0.12,131.391656629804,0.9090909090909091,0.7631578947368421,0.3333333333333333,0.5263157894736842,0.4,0.51
ChocoHFD_001_9,0.8777777777777778,0.5106382978723404,0.7272727272727273,232.0,424.0,1.8275862068965518,0.47,0.15,124.38029805007045,0.8611111111111112,0.8819444444444444,0.6,0.4864864864864865,0.7333333333333333,0.7
ChocoHFD_001_10,0.8756756756756757,0.42857142857142855,0.6818181818181819,236.0,430.0,1.8220338983050848,0.47,0.11,124.48659492978294,0.8974358974358975,0.8698630136986302,0.25,0.4583333333333333,0.7,0.6454545454545454
ChocoHFD_001_11,0.8045112781954887,0.56,0.7125,168.0,315.0,1.875,0.47,0.12,94.17470718745163,0.9,0.7766990291262136,0.4,0.6,0.725,0.7
ChocoHFD_001_12,0.8932806324110671,0.46511627906976744,0.6928571428571428,303.0,567.0,1.8712871287128714,0.53,0.14,160.7506017586088,0.9333333333333333,0.8846153846153846,0.5,0.45161290322580644,0.75,0.65
ChocoHFD_001_13,0.8391959798994975,0.48,0.6833333333333333,258.0,497.0,1.926356589147287,0.83,0.13,136.16106333072713,0.8529411764705882,0.8363636363636363,0.3333333333333333,0.5263157894736842,0.25,0.690909090909091
ChocoHFD_001_14,0.8469387755102041,0.5,0.7,271.0,476.0,1.7564575645756457,0.53,0.12,143.38887766162662,0.8717948717948718,0.8407643312101911,0.75,0.4791666666666667,0.9,0.6599999999999999
ChocoHFD_001_15,0.8489583333333334,0.4,0.6900000000000001,224.0,404.0,1.8035714285714286,0.35,0.13,123.77198958379758,0.7857142857142857,0.8597560975609756,0.3333333333333333,0.4166666666666667,0.3,0.69
ChocoHFD_001_16,0.965034965034965,0.5,0.6933333333333332,318.0,536.0,1.6855345911949686,0.41,0.08,166.27413127413126,0.9682539682539683,0.9641255605381166,0.5555555555555556,0.46153846153846156,0.8,0.6785714285714286
ChocoHFD_001_17,0.8700361010830325,0.4772727272727273,0.7066666666666667,323.0,562.0,1.7399380804953561,0.65,0.09,172.10626302619687,0.8666666666666667,0.8709677419354839,0.42857142857142855,0.4864864864864865,0.6,0.7
ChocoHFD_001_18,0.8876811594202898,0.6470588235294118,0.8066666666666666,315.0,537.0,1.7047619047619047,0.29,0.13,167.76181963878446,0.8214285714285714,0.9041095890410958,0.3333333333333333,0.76,0.7,0.7928571428571429
ChocoHFD_001_19,0.9030837004405287,0.2826086956521739,0.6785714285714286,287.0,529.0,1.843205574912892,0.59,0.1,151.8053701957807,0.8,0.9251336898395722,0.3076923076923077,0.2727272727272727,0.45,0.7181818181818181
ChocoHFD_001_20,0.8204081632653061,0.5352112676056338,0.6846153846153846,284.0,526.0,1.852112676056338,0.41,0.1,164.69140426442652,0.7380952380952381,0.8374384236453202,0.5882352941176471,0.5185185185185185,0.6,0.75
