filename,Session_type,Diet,Mouse_ID,FED
FED000_072026_00.CSV,FR1,Chow,F422,0
FED002_072026_00.CSV,FR1,Choc,F423,2
FED002_072226_00.CSV,FR5,Choc,F423,2
FED018_072026_00.CSV,FR1,Chow,F424,18
FED057_072026_00.CSV,FR1,Choc,M421,3
FED057_072226_00.CSV,FR5,Choc,M421,3
FED062_072026_00.CSV,FR1,Chow,M419,62
FED064_072026_00.CSV,FR1,Choc,M424,64
FED064_072226_00.CSV,FR5,Choc,M424,64
FED067_072026_00.CSV,FR1,Choc,F422,67
FED067_072226_00.CSV,FR5,Choc,F422,67
FED069_072026_00.CSV,FR1,Choc,M419,69
FED069_072226_00.CSV,FR5,Choc,M419,69
FED074_072026_00.CSV,FR1,Chow,F423,74
FED076_072026_00.CSV,FR1,Chow,M421,76
